Entry,Status,Protein names,Interacts with,Organism,Mass,EC number
P04632,reviewed,Calpain small subunit 1 (CSS1) (Calcium-activated neutral proteinase small subunit) (CANP small subunit) (Calcium-dependent protease small subunit) (CDPS) (Calcium-dependent protease small subunit 1) (Calpain regulatory subunit),Q6RW13; P17655; Q96NL8; P20936,Homo sapiens (Human),"28,316",
Q8N187,reviewed,Calcium-responsive transcription factor (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8 protein) (Calcium-response factor) (CaRF) (Testis development protein NYD-SP24),Q53EZ4; Q9NSE2; Q9NR30; Q9BUZ4; Q8NAP3,Homo sapiens (Human),"80,698",
Q9Y2V2,reviewed,Calcium-regulated heat-stable protein 1 (Calcium-regulated heat-stable protein of 24 kDa) (CRHSP-24),Q9ULX6; A8MQ03; Q8NF50; Q8NF50-2; Q9H8Y8; P60409; P60410; Q9UJV3-2; Q7Z3S9; P0DPK4; Q8ND90; P30153; Q13077,Homo sapiens (Human),"15,892",
Q86X55,reviewed,Histone-arginine methyltransferase CARM1 (EC 2.1.1.319) (Coactivator-associated arginine methyltransferase 1) (Protein arginine N-methyltransferase 4),P17676; Q96EY1; Q6NYC1; Q9Y6Q9; O43809; Q96PU8; Q92922; Q05826; Q7ARE5,Homo sapiens (Human),"65,854",2.1.1.319
Q16568,reviewed,Cocaine- and amphetamine-regulated transcript protein [Cleaved into: CART(1-39); CART(42-89)],P13688; P40199; O14770-4,Homo sapiens (Human),"12,829",
P29466,reviewed,Caspase-1 (CASP-1) (EC 3.4.22.36) (Interleukin-1 beta convertase) (IL-1BC) (Interleukin-1 beta-converting enzyme) (ICE) (IL-1 beta-converting enzyme) (p45) [Cleaved into: Caspase-1 subunit p20; Caspase-1 subunit p10],Q5XLA6; P57730; Itself; P09038; P57764; P01583; O15553; O15553-2; Q9NPP4; Q9C000; Q9HC29; Q9ULZ3; P58753-2; Q08AM6; P05067; P54252; Q13867; P14136; P42858; Q13387-4; P27986-2; O14494; O60260-5; P49810; P84022; Q9BX74; O60784-2; Q08AM6; Q9UBQ0-2; O76024; P01583,Homo sapiens (Human),"45,159",3.4.22.36
Q92851,reviewed,Caspase-10 (CASP-10) (EC 3.4.22.63) (Apoptotic protease Mch-4) (FAS-associated death domain protein interleukin-1B-converting enzyme 2) (FLICE2) (ICE-like apoptotic protease 4) [Cleaved into: Caspase-10 subunit p23/17; Caspase-10 subunit p12],Q14790; O15519; O14730; Q13546; P98170; O15519; P98170; O14730,Homo sapiens (Human),"58,951",3.4.22.63
Q6UXS9,reviewed,Inactive caspase-12 (CASP-12),,Homo sapiens (Human),"38,907",
P42575,reviewed,Caspase-2 (CASP-2) (EC 3.4.22.55) (Neural precursor cell expressed developmentally down-regulated protein 2) (NEDD-2) (Protease ICH-1) [Cleaved into: Caspase-2 subunit p18; Caspase-2 subunit p13; Caspase-2 subunit p12],O95429; Itself; P42575-1; P78560; O43741,Homo sapiens (Human),"50,685",3.4.22.55
P42574,reviewed,Caspase-3 (CASP-3) (EC 3.4.22.56) (Apopain) (Cysteine protease CPP32) (CPP-32) (Protein Yama) (SREBP cleavage activity 1) (SCA-1) [Cleaved into: Caspase-3 subunit p17; Caspase-3 subunit p12],O43823; Q9Y243; P05067; P54252; P55212; P55211; Q14203-5; P42858; Q00987; O60551; P09874; Q5JUK2; P10599; Q9BYP7; P98170,Homo sapiens (Human),"31,608",3.4.22.56
P49662,reviewed,Caspase-4 (CASP-4) (EC 3.4.22.57) (ICE and Ced-3 homolog 2) (ICH-2) (ICE(rel)-II) (Mih1) (Protease TX) [Cleaved into: Caspase-4 subunit p10; Caspase-4 subunit p20],,Homo sapiens (Human),"43,262",3.4.22.57
P55212,reviewed,Caspase-6 (CASP-6) (CSP-6) (EC 3.4.22.59) (Apoptotic protease Mch-2) [Cleaved into: Caspase-6 subunit p18 (Caspase-6 subunit p20); Caspase-6 subunit p11 (Caspase-6 subunit p10)],Q9Y614; Q6DHV7-2; Q6UY14-3; Q96MA6; Q5T2L2; Q96Q83-2; Q9Y303-2; Q9NU02; Q6LES2; P06727; Q8WW27; Q66PJ3-4; Q6XD76; P18848; Q9H0Y0; Q14032; P54687-4; P06276; Q9NSI6-4; Q96Q07-2; Q9H0W9-3; Q9NQ89; Q13901; Q3SXR2; Q8N1A6; P17655; P20807-4; P42574; Itself; Q5JTY5; O00257-3; P24863; Q9NNX6-10; Q9UJX2; P42773; O95674; Q494V2-2; Q8WUX9; Q9Y3D0; Q8N365; Q99966; P09496-2; Q6PJW8-3; Q96BR5; P02458-1; Q9UGL9; Q9UKG9-2; P26998; P35222; Q53TN4; P61962; O60479; Q96EY1-3; Q92782-2; Q9BPU6; A0AVK6; Q658K8; O00303; Q13347; O00472; O00423; Q6NXG1-3; Q49AJ0-4; Q8N128-2; Q8IZU1; Q6ZNL6; Q9NSA1; Q06547-3; Q49A26-4; Q9HAV0; Q6NXT2; Q9BT25; Q9NRZ9-6; Q96EW2-2; P42858; Q8N6M8-2; Q92613; P0C870; Q9UK76; Q8N5Z5; Q8TBB5-2; Q9UH77; Q8N4N3-2; Q5JUW0-3; Q8N1A0; P13473-2; Q6DKI2; Q9H2C1; Q8N0U6; Q9Y234; Q8TBB1; Q1L5Z9; Q96JB6; Q16609; Q8IYG6; P0DP58-2; Q969L2; P27338; A6NJ78-4; Q96C03-3; Q8N5J2-3; A0A0A0MR05; P34949-2; Q9BV20; Q6IN84-2; A2RUH7; P01106; Q9H7X0; Q15742-2; Q9UJ70-2; Q8NDH3-5; Q96HA8; P36639-4; Q8NFH4; Q8NFH3; Q7Z3B4; Q3SX64; Q6N063-2; Q6GQQ9-2; Q9H8K7; Q99447; P27815-4; O15534; Q9BUL5; Q00169; P48739; P61925; Q58EX7-2; O60664; Q14181; P0DPB6; P36954; Q07869; O60927; Q6ZMI0-5; P54619; Q8NCQ7-2; P41222; P29074; Q8WUD1-2; Q5R372-9; Q9HD47-3; Q09028; Q04206; P47804-3; Q15382; Q06587; Q8N5U6; P62701; Q66K80; Q01826; O15126; P22307-3; Q9BRK5; Q9NTN9-3; P01011; Q15393; Q9NR46; Q9BZQ2; O60902-3; Q86US8; P37840; Q96H20; Q13573; Q7Z6I5; Q496A3; Q9C004; Q5W111-2; Q96BD6; Q92797-2; O60506-4; O15273; Q86WV5; Q96A09; P54274-2; P22735; O43548; Q9NQ88; Q9UIK5-2; Q53NU3; P04637; Q12888; P36406; Q86WT6-2; Q13885; P49459; Q9P1Q0-4; Q9NX94; Q8NA23-2; Q9BQA1; O00755; O95070; O43829; Q8IWT0-2; Q53FD0-2; Q05CR2; Q96JL9-2; Q96LX8; Q3KNS6-3; A0A384MDV8; B7Z3E8; Q86V28,Homo sapiens (Human),"33,310",3.4.22.59
P55210,reviewed,Caspase-7 (CASP-7) (EC 3.4.22.60) (Apoptotic protease Mch-3) (CMH-1) (ICE-like apoptotic protease 3) (ICE-LAP3) [Cleaved into: Caspase-7 subunit p20; Caspase-7 subunit p11],Q13490; P83105; P42858; Q8N4N3-2; P43364; Q16236; Q9GZT8; Q13177; P27986-2; P21673; Q86WV1-2; P17405; P98170,Homo sapiens (Human),"34,277",3.4.22.60
Q14790,reviewed,Caspase-8 (CASP-8) (EC 3.4.22.61) (Apoptotic cysteine protease) (Apoptotic protease Mch-5) (CAP4) (FADD-homologous ICE/ced-3-like protease) (FADD-like ICE) (FLICE) (ICE-like apoptotic protease 5) (MORT1-associated ced-3 homolog) (MACH) [Cleaved into: Caspase-8 subunit p18; Caspase-8 subunit p10],P05067; P10275; P51572; Q92851; Itself; Q9UKL3; O15519; O15519-1; Q13618; Q13158; P25445; P25445-1; P48023; Q06787-7; Q13418; Q9UDY8; O60936; P53350; P29350; P04049; Q13546; Q969K3; P21580; O00220; P13051-2; Q96AX1; Q13158; O15519-1; Q13158; Q14790,Homo sapiens (Human),"55,391",3.4.22.61
P55211,reviewed,Caspase-9 (CASP-9) (EC 3.4.22.62) (Apoptotic protease Mch-6) (Apoptotic protease-activating factor 3) (APAF-3) (ICE-like apoptotic protease 6) (ICE-LAP6) [Cleaved into: Caspase-9 subunit p35; Caspase-9 subunit p10],O14727; Q13490; Q96CA5; Q6PIA0; P42574; P43146; Q13418; P98170; Q8XAL7; Itself,Homo sapiens (Human),"46,281",3.4.22.62
P41180,reviewed,Extracellular calcium-sensing receptor (CaR) (CaSR) (hCasR) (Parathyroid cell calcium-sensing receptor 1) (PCaR1),Q15363; Itself,Homo sapiens (Human),"120,675",
Q86V15,reviewed,Zinc finger protein castor homolog 1 (Castor-related protein) (Putative survival-related protein) (Zinc finger protein 693),,Homo sapiens (Human),"190,069",
P04040,reviewed,Catalase (EC 1.11.1.6),Itself,Homo sapiens (Human),"59,756",1.11.1.6
Q8NEC5,reviewed,Cation channel sperm-associated protein 1 (CatSper1) (hCatSper),O94929-2; Q6UY14-3; O95994; Q8TD06; Q96IF1; Q9ULX6; P02652; Q03989; Q9H5F2; Q9P0X4; Q9BWT7; Q6NVV7; Q9UKJ5; Q9H2X0; Q8N684-3; P56545-3; A8MQ03; P50402; O00167-2; Q5TD97; O43559; P19883; P08151; P31943; P49639; Q9UKT9; Q5VWX1; Q5T749; Q15323; Q07627; Q8IUG1; Q9BYS1; P60014; P60412; P60372; P60370; P60410; P60411; P59990; P59991; P60328; Q9BYP8; Q3LI72; Q3LI70; Q3SYF9; Q9BYR9; Q9BYR7; A0A087WY89; Q9BYQ6; Q9BQ66; Q9BYR5; Q9BYR3; Q9BYR0; Q6L8G4; Q6L8H2; Q6L8H1; Q6L8G9; P26371; Q3LI64; Q3LI66; Q9BYQ4; Q9BYQ3; Q9BYQ2; Q9BYQ0; Q14847-2; Q5T752; Q5T753; Q5T754; Q5TA81; P48059-3; Q9BRK4; Q99750; Q5JR59; P12524-2; Q7Z3S9; P0DPK4; Q9P286; Q9NR12; O15496; Q9UPG8; O15162; Q9NRY6; Q6P1K2-3; Q7Z5V6-2; Q16825; Q8HWS3; P49795; O76081; O76081-6; Q9UFD9; Q6UXX9-2; O75711; O15304-2; Q8NCR6; O60504; O43597; O43610; P01137; Q63HR2; Q12933; P14373; Q8IWZ5; Q9BZR9; Q15654; O14817; Q2TAL6; B2RXF5; Q9NZV7; P0C7X2; Q6NX45; Q96EG3; Q7Z783,Homo sapiens (Human),"90,091",
Q96P56,reviewed,Cation channel sperm-associated protein 2 (CatSper2),Q9P0X4,Homo sapiens (Human),"62,041",
Q86XQ3,reviewed,Cation channel sperm-associated protein 3 (CatSper3) (Ca(v)-like protein) (One-repeat calcium channel-like protein),,Homo sapiens (Human),"46,422",
Q7RTX7,reviewed,Cation channel sperm-associated protein 4 (CatSper4),Q8NHW4,Homo sapiens (Human),"54,092",
Q03135,reviewed,Caveolin-1,P05067; P55957; P51636; Q6NZI2; O95810; Q969G5; P48730-2; P00533; P25116; P25445; P25445-1; P41134; Q12809; O75581; Q9GZQ8; Q07820; O15118; P19174; P18031; O00194; P63000; P20936; P22307; Q15208; P48995; Q16881; P52735; P52735-1; O70239; Q03160; P0DOE7,Homo sapiens (Human),"20,472",
Q6NZI2,reviewed,Caveolae-associated protein 1 (Cavin-1) (Polymerase I and transcript release factor),Q03135; P56539; Itself; O95810; Q969G5; Q16543; Q96GN5; Q5QJE6; Q9NVF7; Q9C086; Q92993; Q9BRJ2; Q5MJ10; Q5MJ09; Q8WVP5; Q3SY00; Q8N0Z6; Q8IY57-5; Q8TBK6; Q6P2D0; Q9Y5A6,Homo sapiens (Human),"43,476",
O43439,reviewed,Protein CBFA2T2 (ETO homologous on chromosome 20) (MTG8-like protein) (MTG8-related protein 1) (Myeloid translocation-related protein 1) (p85),Q99750; Q9P0J1; Q9GZV8; P17987; O95429; Q9Y592-2; Q9BVG8-5; Q52LG2; P43360; Q9BSU1; Q9GZV8; Q9NQX0; Q9BRV8; O60504; P15884-3; Q96GY0,Homo sapiens (Human),"67,133",
O75081,reviewed,Protein CBFA2T3 (MTG8-related protein 2) (Myeloid translocation gene on chromosome 16 protein) (hMTG16) (Zinc finger MYND domain-containing protein 4),P51805; Q9Y2D9,Homo sapiens (Human),"71,192",
Q13951,reviewed,Core-binding factor subunit beta (CBF-beta) (Polyomavirus enhancer-binding protein 2 beta subunit) (PEA2-beta) (PEBP2-beta) (SL3-3 enhancer factor 1 subunit beta) (SL3/AKV core-binding factor beta subunit),Q9NVM9; P11137; Q01196; Q01196-8; Q13761-2; P12504,Homo sapiens (Human),"21,508",
P22681,reviewed,E3 ubiquitin-protein ligase CBL (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene) (Proto-oncogene c-Cbl) (RING finger protein 55) (RING-type E3 ubiquitin transferase CBL) (Signal transduction protein CBL),Q8IZP0-2; Q14155; P54253; Q9Y5K6; P46108; P46109; P00533; P55085; P17948; P62993; P08631-2; P42858; Q15811; Q96JA1; P45983; P08581; P04629; P27986; O00459; Q92569; O14492; Q96B97; O43597; Q9C004; P12931; P43405; P62837; P31946; Q04917; P27348; P43403; P39688; A0A0H3L6J6; F1SDV6; P08487,Homo sapiens (Human),"99,633",2.3.2.27
P27352,reviewed,Cobalamin binding intrinsic factor (Gastric intrinsic factor) (Intrinsic factor) (IF) (INF),O60494; O15552; Q9UKG4; A1A5C7-2; P30825; Q8TBB6; Q96Q45-2,Homo sapiens (Human),"45,416",
P16152,reviewed,Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (15-hydroxyprostaglandin dehydrogenase [NADP(+)]) (EC 1.1.1.196) (EC 1.1.1.197) (20-beta-hydroxysteroid dehydrogenase) (Alcohol dehydrogenase [NAD(P)+] CBR1) (EC 1.1.1.71) (NADPH-dependent carbonyl reductase 1) (Prostaglandin 9-ketoreductase) (PG-9-KR) (Prostaglandin-E(2) 9-reductase) (EC 1.1.1.189) (Short chain dehydrogenase/reductase family 21C member 1),,Homo sapiens (Human),"30,375",1.1.1.184; 1.1.1.196; 1.1.1.197; 1.1.1.71; 1.1.1.189
P35520,reviewed,Cystathionine beta-synthase (EC 4.2.1.22) (Beta-thionase) (Serine sulfhydrase),Q9UQM7; Itself; P35222; Q15438; Q08426; O75344; P51116; P06241; P22466; P42858; Q92993-2; O75928-2; Q13526; P17612; P54619; P25786; P57075; Q7KZS0; Q9UJ78-2,Homo sapiens (Human),"60,587",4.2.1.22
Q14781,reviewed,Chromobox protein homolog 2,Q6P158; P60409; P60411; P0C7H8; Q99750; P0DJD3; Q15415; Q8N9W6-4; A8MQ03; Q6P158; G5E9A7; Q00403; Q9Y5Q9; P59991; P60328; Q9BYR3; Q99750; Q6FHY5; D3DTS7; Q15415; Q6ZRY4; Q7Z699; Q13148; P54577,Homo sapiens (Human),"56,081",
Q13185,reviewed,Chromobox protein homolog 3 (HECH) (Heterochromatin protein 1 homolog gamma) (HP1 gamma) (Modifier 2 protein),Q6UY14-3; Q9H2P0; Q6IQ32; Itself; Q99988; P68431; Q86Y97; P28838; Q14739; Q5T3J3; Q8IWI9; P52815; Q9BWN1; Q9Y4B4; P23497-2; O75716; O43463; Q13263; Q8ND82; Q6N043-2; Q5ZUS4,Homo sapiens (Human),"20,811",
O00257,reviewed,E3 SUMO-protein ligase CBX4 (EC 2.3.2.-) (Chromobox protein homolog 4) (Polycomb 2 homolog) (Pc2) (hPc2),P35226; Q9HC52; Q13363; Q16665; Q99496; P63165; P31946; A6NKF2; P35226; P55212; P06307; P28329-3; P68400; P67870; P22607; P06396; O00291; P30519; P13473-2; Q9BYE7; O75400-2; P62826; Q99496; P19474; P62258; P63104,Homo sapiens (Human),"61,368",2.3.2.-
P45973,reviewed,Chromobox protein homolog 5 (Antigen p25) (Heterochromatin protein 1 homolog alpha) (HP1 alpha),Q9H2P0; Q9NP61; O75143-2; P46100; Q8TBE0; Itself; Q13111; P48730-2; Q9UMR2; P09471; P84243; Q16695; P68431; P62805; Q9NQS7; P28838; Q14739; Q8N448; Q5T3J3; Q9UIS9; Q14728; P01106; Q9BZ95; Q9BZ95-3; Q96IY1; Q9NUD9; Q7Z3K3; Q07869; Q9BWN1; Q9BQF6; Q5FBB7; Q8NCS7; Q16560-2; P23497-2; O43463; O15273; Q9Y228; Q13263; Q14191; P25490; Q8ND82; Q6N043-2; Q5ZUS4,Homo sapiens (Human),"22,225",
O95503,reviewed,Chromobox protein homolog 6,P35226; O14901; Q9HCE1; P35227; Q3KNV8; Q06587; Q99496,Homo sapiens (Human),"43,898",
O95931,reviewed,Chromobox protein homolog 7,P35226; Q9HCE1; Q9BSM1; P35227; Q3KNV8; Q9BYE7; Q06587; Q99496; Q9UGI0,Homo sapiens (Human),"28,341",
Q9HC52,reviewed,Chromobox protein homolog 8 (Polycomb 3 homolog) (Pc3) (hPc3) (Rectachrome 1),O94929-2; Q9BYV9; Q8N9N5-2; Q6W2J9; P35226; Q13137; Q9BWT7; Q9H257-2; O00257; Q96JN2-2; Q2TAC2; Q8NHQ1; Q92997; Q13643; A1L4K1; P51114-2; O75420; Q08379; A6NEM1; Q96D09; Q4V328; P16401; Q6NT76; Q96ED9-2; O75031; Q13422; Q13422-7; A0A0C4DFT8; Q96N16; Q63ZY3; Q92993; Q7L273; Q9BVG8; Q9BVG8-5; Q15323; O76011; Q6A162; Q9Y333; Q9BRK4; Q8IYB1; P23508; Q99750; Q9UJV3-2; P42568; Q9HCE1; Q5JR59; Q5JR59-3; Q15742; Q9BSM1; P35227; Q3KNV8; Q86SE9; Q9BYE7; Q9C0D0; Q8IXK0; Q4G0R1; Q9NRD5; Q8WWB5; Q9H8W4; Q8ND90; Q9UL42; O15160; Q9NQX0; P31321; Q86WH2; Q06587; Q99496; Q96KN7; Q86VW0; P35711; Q86VP1; Q96N21; Q12800; Q9UBB9; Q12933; Q96RU7; P36406; P14373; Q9BYV2; Q9Y3Q8; Q9BZW7; Q5W5X9-3; Q495M9; P51784; Q93009; P08670; O43829; Q96BR9; Q96C00; O15231; Q9UGI0,Homo sapiens (Human),"43,396",
Q8IX12,reviewed,Cell division cycle and apoptosis regulator protein 1 (Cell cycle and apoptosis regulatory protein 1) (CARP-1) (Death inducer with SAP domain),Q9NQM4; Q08379; Q5JR59-3; Q969Q1; Q9GZV5; Q9EPK5,Homo sapiens (Human),"132,821",
Q9P031,reviewed,Thyroid transcription factor 1-associated protein 26 (TTF-1-associated protein 26) (Coiled-coil domain-containing protein 59) (TTF-1-associated protein BR2),P43361; P43699,Homo sapiens (Human),"28,670",
P06307,reviewed,Cholecystokinin (CCK) [Cleaved into: Cholecystokinin-58 (CCK58); Cholecystokinin-58 desnonopeptide ((1-49)-CCK58); Cholecystokinin-39 (CCK39); Cholecystokinin-33 (CCK33); Cholecystokinin-25 (CCK25); Cholecystokinin-18 (CCK18); Cholecystokinin-12 (CCK12); Cholecystokinin-8 (CCK8); Cholecystokinin-7 (CCK7); Cholecystokinin-5 (CCK5)],Q6DHV7-2; Q6UY14-3; Q9NU02; Q66PJ3-4; Q6XD76; C1IDX9; Q9NSI6-4; O00257-3; Q494V2-2; Q8WUX9; Q9Y3D0; Q99966; O95278-6; Q6NXG1-3; P06241; Q06547-3; O75409; Q6NXT2; P53701; Q9NRZ9-6; Q9UK76; Q8N1A0; Q6DKI2; Q9H2C1; Q16609; Q8NI22; P01106; Q9UJ70-2; P25208; Q8NFH3; Q7Z3B4; Q07869; P02775; Q6ZMI0-5; P23942; P29074; Q96HR9-2; Q04206; P47804-3; Q15382; P62701; Q66K80; Q7L8J4; Q8IYM2; Q9C004; Q5W111-2; Q96BD6; Q92797-2; P62253; Q9UHD9; Q9P1Q0-4; Q9NX94; Q8IWT0-2; Q53FD0-2; Q96JL9-2; P32239,Homo sapiens (Human),"12,669",
P32238,reviewed,Cholecystokinin receptor type A (CCK-A receptor) (CCK-AR) (Cholecystokinin-1 receptor) (CCK1-R),,Homo sapiens (Human),"47,841",
P32239,reviewed,Gastrin/cholecystokinin type B receptor (CCK-B receptor) (CCK-BR) (Cholecystokinin-2 receptor) (CCK2-R),P06307; Q9P121; Q06124,Homo sapiens (Human),"48,419",
P51671,reviewed,Eotaxin (C-C motif chemokine 11) (Eosinophil chemotactic protein) (Small-inducible cytokine A11),Q9Y4X3; Q9NRJ3; P13501; P51677; P02778; P48061; P27487; P02776,Homo sapiens (Human),"10,732",
Q92583,reviewed,C-C motif chemokine 17 (CC chemokine TARC) (Small-inducible cytokine A17) (Thymus and activation-regulated chemokine),O00585; O15444; Q9Y258; Q9NRJ3; P13501; P13501; P51679; P51681; P02776,Homo sapiens (Human),"10,507",
P13500,reviewed,C-C motif chemokine 2 (HC11) (Monocyte chemoattractant protein 1) (Monocyte chemotactic and activating factor) (MCAF) (Monocyte chemotactic protein 1) (MCP-1) (Monocyte secretory protein JE) (Small-inducible cytokine A2),P13501; P80075; P02776; P78317; Q9Y320; Q2F862; P98066,Homo sapiens (Human),"11,025",
P80098,reviewed,C-C motif chemokine 7 (Monocyte chemoattractant protein 3) (Monocyte chemotactic protein 3) (MCP-3) (NC28) (Small-inducible cytokine A7),Q9UMX0; Q9UMX0-2; Q9UHD9; Q2F862; P98066,Homo sapiens (Human),"11,200",
P80075,reviewed,C-C motif chemokine 8 (HC14) (Monocyte chemoattractant protein 2) (Monocyte chemotactic protein 2) (MCP-2) (Small-inducible cytokine A8) [Cleaved into: MCP-2(6-76)],P13500,Homo sapiens (Human),"11,246",
P29279,reviewed,CCN family member 2 (Cellular communication network factor 2) (Connective tissue growth factor) (Hypertrophic chondrocyte-specific protein 24) (Insulin-like growth factor-binding protein 8) (IBP-8) (IGF-binding protein 8) (IGFBP-8),P03372; Q92731; P02751,Homo sapiens (Human),"38,091",
P20248,reviewed,Cyclin-A2 (Cyclin-A) (Cyclin A),P31749; P24941; P38936; P46527; Q96PU4; P03129; P03070,Homo sapiens (Human),"48,551",
P14635,reviewed,G2/mitotic-specific cyclin-B1,Q9NPC3; P06493; P46527; O75618-1; Q99640; Q13635; P61086; Q96PU4,Homo sapiens (Human),"48,337",
P24863,reviewed,Cyclin-C (SRB11 homolog) (hSRB11),Q92870-2; Q9UBL3; Q6QNY1; Q9BX70; P55212; Q8TD31-3; Itself; Q00526; Q00535; P49336; P42772; Q96M91; P61024; O43186; Q8WWB3; Q3B820; Q9Y247; Q86YD7; O15409; Q6PJQ5; Q8TAE8; P14136; Q53GS7; Q49A26; Q08379; A0A024R8L2; P42858; Q9ULR0; A1A4E9; P19012; P08779; Q7Z3Y8; Q15323; O76011; P13473-2; P80188; Q9BRK4; O95983-2; Q9NS73-5; P50222; Q6FHY5; O14880; P17568; P19404; I6L9F6; Q9HAN9; Q96F24; Q02548; Q96AQ6; Q8TD55-2; O60664; D3DTS7; Q96PV4; P78424; Q99633; O75400-2; Q9UHX1; P06400; Q96IZ5; Q04864-2; P40937; Q8N443; P15927; Q9BVN2; Q9UJW9; Q9Y371; Q92529; Q99932-2; Q7Z699; Q6ZRS2-3; O75528; Q8N8B7-2; Q96N21; Q9BXU0; Q9Y228; Q9HCM9; P61086; P40337-2; Q9NP79; Q8TF47; P17022; Q9BUY5; Q6ZNG0; P0C7X2; Q3KQV3,Homo sapiens (Human),"33,243",
P24385,reviewed,G1/S-specific cyclin-D1 (B-cell lymphoma 1 protein) (BCL-1) (BCL-1 oncogene) (PRAD1 oncogene),P10275; P38398; P30260; P24941; P11802; Q00534; P38936; P46527; Q5XUX0; O15379; Q16656; Q96PU4; Q96TE0; P30285; P59595; Q62796,Homo sapiens (Human),"33,729",
P30281,reviewed,G1/S-specific cyclin-D3,Q9NWQ9; Q8IYE1; O94921; Q00536-3; Q07002; Q00526; P11802; Q00535; Q00534; P38936; P55273; P29373; O14964; Q9BVG8-5; Q8NEH6; Q9BT43; Q9UBB9; Q5VK71; P08393,Homo sapiens (Human),"32,520",
P24864,reviewed,G1/S-specific cyclin-E1,P38398; P24941; P38936; P46527; Q08050; A6NCL1; Q96PU4; Q5VK71,Homo sapiens (Human),"47,077",
P51946,reviewed,Cyclin-H (MO15-associated protein) (p34) (p37),Q9H2G9; Q13137; Q8IYT3; P50991; P24941; Q00526; Q00534; P56545; Q96D03; Q9UNI6; Q08379; Q4V328; Q6P597; Q96EZ8; Q9Y216; O14777; Q9NRD5; Q13136; P25786; P10276; Q15669; P31947; O95295; O60504; Q9Y2D8; Q99081-3; P15884-3; Q8N7C3; Q8N720; O60232,Homo sapiens (Human),"37,643",
O60563,reviewed,Cyclin-T1 (CycT1) (Cyclin-T),Q9UHB7; O60885-1; P50750; O94992; P04608; P04610,Homo sapiens (Human),"80,685",
P32246,reviewed,C-C chemokine receptor type 1 (C-C CKR-1) (CC-CKR-1) (CCR-1) (CCR1) (HM145) (LD78 receptor) (Macrophage inflammatory protein 1-alpha receptor) (MIP-1alpha-R) (RANTES-R) (CD antigen CD191),P13501; O43889-2; Q04941; Q9H3N1,Homo sapiens (Human),"41,173",
P41597,reviewed,C-C chemokine receptor type 2 (C-C CKR-2) (CC-CKR-2) (CCR-2) (CCR2) (Monocyte chemoattractant protein 1 receptor) (MCP-1-R) (CD antigen CD192),Q9BW27,Homo sapiens (Human),"41,915",
P51677,reviewed,C-C chemokine receptor type 3 (C C CKR3) (C-C CKR-3) (CC-CKR-3) (CCR-3) (CCR3) (CKR 3) (CKR3) (Eosinophil eotaxin receptor) (CD antigen CD193),P51671,Homo sapiens (Human),"41,044",
P51679,reviewed,C-C chemokine receptor type 4 (C-C CKR-4) (CC-CKR-4) (CCR-4) (CCR4) (K5-5) (CD antigen CD194),Q92583; A5PKU2,Homo sapiens (Human),"41,403",
P51681,reviewed,C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (CCR5) (CHEMR13) (HIV-1 fusion coreceptor) (CD antigen CD195),Q16570-2; Q92583; P13236; P13501; Itself; P01730; P61073; P54849; O54081,Homo sapiens (Human),"40,524",
P51685,reviewed,C-C chemokine receptor type 8 (C-C CKR-8) (CC-CKR-8) (CCR-8) (CC chemokine receptor CHEMR1) (CMKBRL2) (Chemokine receptor-like 1) (CKR-L1) (GPR-CY6) (GPRCY6) (TER1) (CD antigen CDw198),,Homo sapiens (Human),"40,844",
P51686,reviewed,C-C chemokine receptor type 9 (C-C CKR-9) (CC-CKR-9) (CCR-9) (G-protein coupled receptor 28) (GPR-9-6) (CD antigen CDw199),,Homo sapiens (Human),"42,016",
O14618,reviewed,Copper chaperone for superoxide dismutase (Superoxide dismutase copper chaperone),Q9NWV4; P00441; P98170,Homo sapiens (Human),"29,041",
P15391,reviewed,B-lymphocyte antigen CD19 (B-lymphocyte surface antigen B4) (Differentiation antigen CD19) (T-cell surface antigen Leu-12) (CD antigen CD19),,Homo sapiens (Human),"61,128",
P06126,reviewed,T-cell surface glycoprotein CD1a (T-cell surface antigen T6/Leu-6) (hTa1 thymocyte antigen) (CD antigen CD1a),P61769,Homo sapiens (Human),"37,077",
P06729,reviewed,T-cell surface antigen CD2 (Erythrocyte receptor) (LFA-2) (LFA-3 receptor) (Rosette receptor) (T-cell surface antigen T11/Leu-5) (CD antigen CD2),Q9Y5K6; O95400; Q96B97,Homo sapiens (Human),"39,448",
Q9NNX6,reviewed,CD209 antigen (C-type lectin domain family 4 member L) (Dendritic cell-specific ICAM-3-grabbing non-integrin 1) (DC-SIGN) (DC-SIGN1) (CD antigen CD209),Q08AM6; P0DTC2; Q03463; Q86V38; P55212; P02489; O75190-2; O14645; O75460-2; Q0VDC6; P54652; Q8IY31-3; O14901; P13473-2; Q9BVL2; D3DTS7; O75400-2; P62826; P50502; Q8IYN2; Q08AM6,Homo sapiens (Human),"45,775",
